Id,Title,Magazines publications,Book publications,Post-conference publications,Equipment,Equipment cost,Equipment count,Manager,Managers title,Unit,Voivodeship
2011/01/N/HS6/02370,Poznawcze Mechanizmy Powstawania Mimowolnych Wspomnień Autobiograficznych,0,1,0,,0,0,Krystian Barzykowski,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2011/01/N/HS6/03897,Styl życia i system wartości polskiej inteligencji młodego pokolenia,2,0,0,,0,0,Kinga Zawadzka-Król,mgr,Instytut Filozofii i Socjologii PAN,mazowieckie
2011/01/N/HS4/01423,Migracje piłkarzy na tle migracji pracowników w Unii Europejskiej na początku XXI wieku.,0,1,0,,0,0,Marzena Józefczyk,dr,"Uniwersytet Wrocławski, Wydział Nauk Społecznych",dolnośląskie
2011/01/N/HS5/01393,Międzynarodowe bezpieczeństwo cybernetyczne. Rola Stanów Zjednoczonych Ameryki w konfrontacji technologicznej,1,2,0,"netbook, skaner ręczny",2200,2,Dominika Dziwisz,mgr,Uniwersytet Jagielloński w Krakowie,małopolskie
2011/01/N/HS6/05171,Tożsamość etniczno-kulturowa obywateli Białorusi i Ukrainy wchodzących w polskie społeczeństwo,2,7,0,"Komputer przenośny laptop, Oprogramowanie specjalistyczne",4991,2,Krzysztof Jurek,mgr,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Społecznych",lubelskie
2011/01/N/HS2/00592,Relacje słowno-muzyczne w twórczości Ludwiga van Beethovena w kontekście teorii i estetyki muzyki XVIII wieku,2,4,0,Komputer przenośny HP ProBook 4320S,2895,1,Małgorzata Grajter,dr,"Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi, Wydział Kompozycji, Teorii Muzyki, Rytmiki i Edukacji Artystycznej",łódzkie
2011/01/N/HS2/02832,Cierpienie i śmierć jako współczesne widowisko medialne. Perspektywa performatyczna.,0,1,0,komputer przenośny,2337,1,Ewa Jeleń-Kubalewska,dr,"Uniwersytet im. Adama Mickiewicza, Wydział Nauk Społecznych",wielkopolskie
2011/01/N/HS5/05361,Poza polityką? Depolityzacja organizacji mniejszości narodowych i etnicznych po 1989 roku w województwie zachodniopomorskim,0,2,0,,0,0,Dorota Kowalewska,dr,"Uniwersytet Szczeciński, Wydział Humanistyczny",zachodniopomorskie
2011/01/N/HS6/02286,"Duchowe i religijne radzenie sobie a funkcjonowanie biopsychospołeczne osób uzależnionych od alkoholu, uczestniczących w terapii poznawczo-behawioralnej",3,0,0,,0,0,Edyta Charzyńska,mgr,Szkoła Wyższa Psychologii Społecznej w Warszawie,mazowieckie
2011/01/N/HS5/04505,"Fundacje, stowarzyszenia i organizacje społeczne w polityce opieki i edukacji przedszkolnej w Polsce w okresie zmiany ustrojowej. Nowy model inwestycji społecznych i aktywizacji wspólnot lokalnych.",5,1,0,"komputer przenośny (laptop) Samsung RF511 wraz z oprogramowaniem, Program do analizy danych jakościowych Atlas.ti (wersja dla instytucji edukacyjnych), Dyktafon cyfrowy",0,3,Anna Ciepielewska-Kowalik,dr,Instytut Studiów Politycznych PAN,mazowieckie
2011/01/N/HS4/05989,Przekształcenia przestrzeni publicznej miasta średniej wielkości w warunkach gospodarki rynkowej w Polsce,1,2,3,nie planowano zakupu aparatury,0,1,Anna Golędzinowska,mgr inż.,"Politechnika Gdańska, Wydział Architektury",pomorskie
2011/01/N/HS2/02308,Badania nad zastosowaniem preparatu Bookkepper do odkwaszania malarstwa olejnego na papierze,2,1,0,"komputer Lenovo ThinkPad T520 NW64FPB84, -, drukarka laserowa kolorowa Canon i-Sensys LBP7200Cdn",5702,3,Anna Nowicka,mgr,"AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE, Wydział Konserwacji i Restauracji Dzieł Sztuki",mazowieckie
2011/01/N/HS4/03105,Bayesowskie modele SV z przełączaniem Markowa w analizie zmienności na rynkach finansowych,1,1,0,"Notebook DELL Latitude E6520 i7-2760QM/4GB/500GB/W7P/podstawka/mysz/pad, Word-to-LateX Home&Academic (oprogramowanie), Norton 360 PL Box 5.0 1user 3PC (oprogramowanie), GAUSS 12 (Mathematical and Statistical System), Microsoft Office 2010 Professional",7511,5,Łukasz Kwiatkowski,dr,"Uniwersytet Ekonomiczny w Krakowie, Wydział Zarządzania",małopolskie
2011/01/N/HS3/02735,Rekonstrukcja procesu powstawania środkowoazjatyckich osad typu miejskiego w okresie wczesnomuzułmańskim.,0,0,0,,0,0,Monika Różańska,mgr,"Uniwersytet Warszawski, Wydział Historyczny",mazowieckie
2011/01/N/HS6/02530,Język współczesnego kapitalizmu. Analiza dyskursu menedżerskiego i jego roli w idei gospodarki opartej na wiedzy.,1,0,0,laptop Samsung RC530,2997,1,Jerzy Stachowiak,mgr,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny",łódzkie
2011/01/N/HS2/01720,"Obraz sztuki średniowiecznej w polskim piśmiennictwie, grafice i malarstwie epoki nowożytnej",1,2,1,,0,0,Kinga Blaschke,mgr,"Uniwersytet Jagielloński, Wydział Historyczny",małopolskie
2011/01/N/HS3/02176,Kreowanie hegemonii poprzez zawłaszczanie znaczeń. Dyskurs władzy w Myanmarze.,1,1,1,,0,0,Mariusz Kania,mgr,"Uniwersytet im. Adama Mickiewicza, Wydział Historyczny",wielkopolskie
2011/01/N/HS4/03243,Wykorzystanie technologii semantycznych w monitoringu wiarygodności informacji pozyskiwanej z Internetu,0,0,0,Notebook,3172,1,Kinga Kajfosz,mgr,"Uniwersytet Ekonomiczny w Katowicach, Wydział Informatyki i Komunikacji",śląskie
2011/01/N/HS5/03672,Brytyjski samorząd lokalny,2,3,1,,0,0,Elżbieta Sadowska-Wieciech,dr,UNIWERSYTET JAGIELLOŃSKI,małopolskie
2011/01/N/HS3/01102,Pruska myśl wojskowa 1815-1857,6,0,3,,0,0,Jacek Jędrysiak,dr,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych",dolnośląskie
2011/01/N/HS2/02105,Językowe mechanizmy dyskryminacji ze względu na rasę,2,0,0,,0,0,Margaret Ohia,mgr,"Uniwersytet Wrocławski, Wydział Filologiczny",dolnośląskie
2011/01/N/HS4/05614,Zarządzanie reputacją w budowaniu przewagi konkurencyjnej podlaskich przedsiębiorstw deweloperskich,2,4,1,,0,0,Justyna Grześ-Bukłaho,mgr,"Politechnika Białostocka, Wydział Zarządzania",podlaskie
2011/01/N/HS4/06248,Wpływ kapitału ludzkiego na efektywność usług pocztowych w regionie koszalińskim,0,0,0,,0,0,Weronika Toszewska,mgr,"Politechnika Koszalińska, Instytut Ekonomii i Zarządzania",zachodniopomorskie
2011/01/N/HS2/01068,Normalizacja europejska w zakresie informacji naukowej i technologii informacyjno-komunikacyjnych,3,1,1,,0,0,Anna Matysek,dr,"Uniwersytet Śląski w Katowicach, Wydział Filologiczny",śląskie
2011/01/N/HS5/02523,Administracyjnoprawne aspekty opłat adiacenckich,0,0,0,,0,0,Monika Ziniewicz,mgr inż.,UNIWERSYTET WARMIŃSKO-MAZURSKI W OLSZTYNIE,warmińsko-mazurskie
2011/01/N/HS6/04086,Określenie struktur uczestniczących w zachowaniach eksploracyjnych typu autoekspozycji i częściowe zablokowanie ich aktywności w celu wywołania zachowań depresyjnych u szczurów,0,0,0,,0,0,Ita Robakiewicz,mgr,Wyższa Szkoła Finansów i Zarządzania w Warszawie,mazowieckie
2011/01/N/HS6/05095,"Nowe media jako technologie JA. Socjologiczna analiza tożsamościowych konsekwencji upowszechnienia się interaktywnych, cyfrowych i sieciowych technologii komunikowania",3,0,0,,0,0,Mateusz Halawa,mgr,"Uniwersytet Warszawski, Instytut Studiów Społecznych",mazowieckie
2011/03/N/HS6/01051,Bodźce olfaktoryczne a komunikacja interpersonalna,4,0,0,Laptop SAMSUNG 530 U,3000,1,Agnieszka Sorokowska,mgr,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych",dolnośląskie
2011/03/N/HS1/04592,Mesjańskie pojęcie czasu we współczesnych teoriach politycznych,4,1,0,"Czytnik Onyx Boox M92, Laptop ASUS BU400A-W3099X, Urządzenie wielofunkcyjne Brother MFC-J825DW",4816,3,Michał Pospiszyl,mgr,Fundacja No Local,małopolskie
2011/03/N/HS2/00890,Sophia - upersonifikowana Mądrość Boża. Dzieje wyobrażeń w kręgu kultury bizantyńsko-słowiańskiej,6,1,0,,0,0,Zofia Brzozowska,dr,"Uniwersytet Łódzki, Wydział Filozoficzno-Historyczny",łódzkie
2011/03/N/HS2/01724,Latinitas w literaturze polskiego i serbskiego romantyzmu. Studium porównawcze,1,7,1,"NOTEBOOK + MOLP Office, Dysk przenośny 1TB",4911,2,Tomasz Ewertowski,dr,"Uniwersytet im. Adama Mickiewicza, Wydział Filologii Polskiej i Klasycznej",wielkopolskie
2011/03/N/HS2/01800,"Przedmiotowość, czasowość, powszedniość, teatralność. Michael Fried i sztuka po modernizmie",5,1,0,"Dysk twardy, Monitor, tablet z systemem operacyjnym Android",2575,3,Krzysztof Pijarski,dr,"Uniwersytet Warszawski, Wydział Historyczny",mazowieckie
2011/03/N/HS2/01936,"Innowacyjny pomiar deformacji wielkoformatowych obrazów na płótnie z wykorzystaniem zdalnych metod optycznych oraz jego zastosowanie w dokumentacji, projektowaniu i ocenie konserwatorskich rozwiązań technicznch.",3,1,2,"głowica laserowa, system oświetlenia - lampy fotograficzne, budowa platformy roboczej z systemem stołów rotacyjnych, system mobilnej ramy (zawierającej elementy układu mechanicznego tj. silnki krokowy, kontroler, prowadnice sprzężoną z komputerem), mały przenośny pH metr, kamera, statyw, rzutnik",63814,6,Katarzyna Górecka,mgr,"Akademia Sztuk Pięknych w Warszawie, Wydział Konserwacji i Restauracji Dzieł Sztuki",mazowieckie
2011/03/N/HS2/06236,Chaplin. Burleska i historia,1,1,0,Apple iPad 2,1999,1,Paweł Mościcki,dr,INSTYTUT BADAŃ LITERACKICH PAN,mazowieckie
2011/03/N/HS3/00936,Prawo sąsiedzkie w świetle papirusów z Egiptu grecko-rzymskiego,5,0,1,"Komputer przenośny - notbook Sony Vaio, Dysk zewnętrzny 500 GB",1858,2,Aneta Skalec,mgr,"Uniwersytet Warszawski, Wydział Prawa i Administracji",mazowieckie
2011/03/N/HS3/01273,"Od królewskiego faworyta do opozycjonisty. Działalność polityczna i wojskowa Krzysztofa Radziwiłła ""Pioruna"" (1547-1603)",3,0,3,,0,0,Piotr Łabędź,mgr,"Uniwersytet Mikołaja Kopernika, Wydział Nauk Historycznych",kujawsko-pomorskie
2011/03/N/HS3/01288,"Tubylcze społeczności i ich współczesne przeobrażenia. WSPÓLNOTA-PRZYWÓDCY-WŁADZA LOKALNA na przykładzie grupy Tzotzil w regionie Los Altos de Chiapas, Meksyk.",0,0,0,,0,0,Marcin Kozłowski,mgr,"Uniwersytet im. Adama Mickiewicza, Wydział Historyczny",wielkopolskie
2011/03/N/HS4/00428,Przekształcenia zasobów ziemi rolniczej i struktur agrarnych w państwach członkowskich Unii Europejskiej w świetle ewolucji instrumentów wspólnej polityki rolnej,5,2,1,"Drukarka, Notebook Inspiron 14"" z wyposazeniem",5127,2,Adam Majchrzak,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",wielkopolskie
2011/03/N/HS4/00429,Rola orientacji na wiedzę w procesie kształtowania przewagi konkurencyjnej przedsiębiorstwa w procesie internacjonalizacji,15,7,0,,0,0,Marcin Soniewicki,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Gospodarki Międzynarodowej",wielkopolskie
2011/03/N/HS4/01923,Zastosowanie i estymacja modeli DSGE drugiej generacji,0,0,0,,0,0,Anna Sulima,mgr,"Uniwersytet Ekonomiczny w Krakowie, Wydział Zarządzania",małopolskie
2011/03/N/HS4/03855,Drugie domy a zrównoważony rozwój turystyki w peryferyjnym regionie turystycznym na przykładzie Borów Tucholskich,4,1,1,"Aparat fotograficzny kompaktowy z modułem GPS, Mapa GPS Garmin TOPO Polska 2011, Komputer przenośny, Urządzenie wielofunkcyjne: drukarka, kopiarka, skaner, Oprogramowanie: MS Office Professional Plus 2013, Oprogramowanie Manifold GIS 8.00 Personal, Oprogramowanie: Corel Draw Graphic Suite X6, Urządzenia peryferyjne komputera",7520,8,Czesław Adamiak,dr,"Uniwersytet Mikołaja Kopernika, Wydział Nauk o Ziemi",kujawsko-pomorskie
2011/03/N/HS5/03725,Ochrona informacji poufnych pracodawcy w indywidualnym i zbiorowym prawie pracy,0,4,1,,0,0,Marta Derlacz-Wawrowska,mgr,Instytut Pracy i Spraw Socjalnych,mazowieckie
2011/03/N/HS6/01906,Dynamika relacji pomiędzy nośnikiem a treścią pamięci społecznej,5,4,1,,0,0,Łukasz Skoczylas,mgr,"Uniwersytet im. Adama Mickiewicza, Wydział Nauk Społecznych",wielkopolskie
2011/03/N/HS6/02241,Poziom funkcji zarządzających w okresie senioralnym w kontekście czynników budujących i modyfikujących rezerwę poznawczą,2,4,0,"Drukarka, dyktafon cyfrowy, dysk przenośny, program do konwersji mowy na tekst, Laptop z oprogramowaniem i elementami dodatkowymi",7551,5,Karolina Byczewska-Konieczny,mgr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2011/03/N/HS6/02312,"Stosunek kobiet o wysokim poziomie seksizmu wobec kobiet, które łamią status quo.",0,0,0,,0,0,Marta Szastok,mgr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2011/03/N/HS6/03832,Efekt skażonej prawdy - mechanizm i wyznaczniki,1,1,0,,0,0,Malwina Szpitalak,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2011/03/N/HS6/04744,Wspólnota arabska w Polsce. Polska polityka migracyjna w opinii arabskich imigrantów.,4,0,3,"Notebook, Urządzenie wielofunkcyjne, Aparat cyfrowy",5542,3,Mustafa Switat,mgr,"Uniwersytet Warszawski, Wydział Stosowanych Nauk Społecznych i Resocjalizacji",mazowieckie
2012/05/N/HS1/02914,ródła krytyki przyczynowej koncepcji działania,1,0,1,,0,0,Michał Barcz,mgr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",mazowieckie
2012/05/N/HS1/03256,Pawła Florenskiego (1882-1937) filozofia wszechjedności,6,0,0,,0,0,Justyna Kroczak,mgr,"Uniwersytet Zielonogórski, Wydział Humanistyczny",lubuskie
2012/05/N/HS1/03338,Współczesne przemiany intymności w perspektywie filozofii kultury,8,3,2,,0,0,Maciej Musiał,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych",wielkopolskie
2012/05/N/HS1/03408,Indywidualność i tożsamość przedmiotu percepcji wzrokowej w perspektywie nauk kognitywnych,5,0,1,,0,0,Błażej Skrzypulec,mgr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2012/05/N/HS2/00555,Ideowy obraz Rosji w pismach Josepha de Maistre'a,1,1,1,"Drukarka laserowa, Skaner przenośny",0,2,Łukasz Maślanka,mgr,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Humanistycznych",lubelskie
2012/05/N/HS2/00566,Współczesne oblicza ikonoklazmu. Analiza działań o charakterze ikonoklastycznym w Polsce (1989-2012).,5,1,0,,0,0,Łukasz Zaremba,mgr,"Uniwersytet Warszawski, Wydział Polonistyki",mazowieckie
2012/05/N/HS2/02660,Wywoływanie ciała. Zmysły i afekty wobec języka poetyckiego. Dyskursy filozoficzne i literackie XX wieku,6,0,1,,0,0,Aldona Kopkiewicz,mgr,"Uniwersytet Jagielloński, Wydział Polonistyki",małopolskie
2012/05/N/HS2/02744,Retoryczny Arsenał romantyków z kręgu Charlesa Nodiera (1824-34),2,5,0,"Kindle Touch, DocuPen X (skaner długopisowy), MacBook Pro (2,2 GHz, Intel Core i7, 4GB 1333 MHz, 500 GB)",5323,3,Marta Sukiennicka,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Neofilologii",wielkopolskie
2012/05/N/HS2/02947,Studium związków literatury i ekonomii w twórczości Aleksandra Wata,3,2,0,"Aparat fotograficzny, Notebook, Czytnik e-booków",5207,3,Marta Baron-Milian,mgr,"Uniwersytet Śląski w Katowicach, Wydział Filologiczny",śląskie
2012/05/N/HS2/03077,Przestrzenie widzialności. Wizualne konstrukcje tożsamości w Polsce po 1989 roku.,3,2,0,,0,0,Magda Szcześniak,mgr,"Uniwersytet Warszawski, Wydział Polonistyki",mazowieckie
2012/05/N/HS2/03267,Trzeci obieg - praktyki komunikacyjne kultury alternatywnej,7,0,0,Dyktafon cyfrowy,749,1,Xawery Stańczyk,mgr,"Uniwersytet Warszawski, Wydział Polonistyki",mazowieckie
2012/05/N/HS3/01181,"""Świetlana przyszłość?"" - żydowska młodzież wobec wyzwań międzywojennej Polski. Aktywność związku młodzieżowego Cukunft.",3,0,0,,0,0,Magdalena Kozłowska,dr,"Uniwersytet Jagielloński, Wydział Historyczny",małopolskie
2012/05/N/HS3/01398,"""...quod unio federis pepetui per nullas penitus dissensiones violetur"": mechanizmy rozwiązywania sporów na pograniczu polsko i litewsko-krzyżackim w późnym średniowieczu",3,1,0,"Urządzenie wielofunkcyjne (drukarka+kopiarka), Laptop, Skaner ręczny",3961,3,Michalina Duda,mgr,"Uniwersytet Mikołaja Kopernika, Wydział Nauk Historycznych",kujawsko-pomorskie
2012/05/N/HS3/01405,Ewolucja form polityczno-ustrojowych na Sycylii w latach 405-304 p.n.e. Między demokratyczną polis a monarchią terytorialną,4,1,0,,0,0,Andrzej Dudziński,mgr,"Uniwersytet Jagielloński, Wydział Historyczny",małopolskie
2012/05/N/HS3/01772,Polacy w rosyjskiej Besarabii w latach 1812-1918,0,0,0,,0,0,Anna Skowronek,mgr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historyczny",wielkopolskie
2012/05/N/HS4/00333,Proinnowacyjne systemy wynagradzania we współczesnych organizacjach,0,0,0,,0,0,Barbara Sajkiewicz,mgr,Instytut Pracy i Spraw Socjalnych,mazowieckie
2012/05/N/HS4/00592,Problem niedoskonałości w obszarze bezpieczeństwa a funkcjonowanie międzynarodowych łańcuchów dostaw,1,1,1,,0,0,Magdalena Jażdżewska-Gutta,mgr,"Uniwersytet Gdański, Wydział Ekonomiczny",pomorskie
2012/05/N/HS4/01872,Rozwój pracowników w małych przedsiębiorstwach,5,2,3,Komputer wraz z oprogramowaniem biurowym i drukarką laserową,0,1,Ewa Rak,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Nauk Ekonomicznych",dolnośląskie
2012/05/N/HS4/01875,Zastosowanie analizy skupień na potrzeby wspomagania podejmowania strategicznych decyzji przez przedsiębiorstwa w Internecie Semantycznym.,3,3,0,,0,0,Elżbieta Lewańska,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Informatyki i Gospodarki Elektronicznej",wielkopolskie
2012/05/N/HS4/02055,Foresight jako narzędzie doskonalenia zarządzania turystyką w regionie,5,1,1,komputer przenośny z oprogramowaniem oraz drukarka,6065,1,Danuta Szpilko,mgr,"Politechnika Białostocka, Wydział Zarządzania",podlaskie
2012/05/N/HS5/02373,Ustrojowo-polityczne przesłanki kontroli i nadzoru nad polskimi służbami specjalnymi na tle porównawczym. Stan aktualny i perspektywy rozwoju.,3,5,1,,0,0,Mateusz Kolaszyński,dr,"Uniwersytet Jagielloński, Wydział Studiów Międzynarodowych i Politycznych",małopolskie
2012/05/N/HS5/02811,"Kompleks bezpieczeństwa w regionie Azji Środkowej po 1991 roku - wielopłaszczyznowa analiza znaczenia regionu z wykorzystaniem metodologii kompleksu bezpieczeństwa regionalnego oraz paradygmatów badawczych realizmu, liberalizmu i konstruktywizmu",1,1,1,,0,0,Marek Musioł,dr,"Uniwersytet Wrocławski, Wydział Nauk Społecznych",dolnośląskie
2012/05/N/HS6/03892,"Dynamika protestów skrajnej prawicy w Polsce, 1989-2012",2,2,0,,0,0,Daniel Płatek,mgr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2012/05/N/HS6/03944,Przełom antypozytywistyczny w polskiej socjologii. Analiza pola socjologii wobec doświadczenia Solidarności,1,2,0,"tablet ze stacją dokującą zawierającą klawiaturę, dyktafon",2678,2,Jakub Motrenko,dr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",mazowieckie
2012/05/N/HS6/03962,Miasta znaczeń: wizerunki polskich miast oraz społeczna recepcja ich promocji a przekształcenia wątków tradycji i treści kultury,1,1,0,,0,0,Aleksandra Wycisk,mgr,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych",śląskie
2012/05/N/HS6/04048,Kategoria duchowości we współczesnej pedagogice.,2,1,0,,0,0,Marta Znaniecka,dr,"Uniwersytet Gdański, Wydział Nauk Społecznych",pomorskie
2012/07/N/HS1/01550,Religia w sporze liberałów i komunitarian.,2,3,0,drukarka HP Deskjet seria 3000,389,1,Marta Turkot,dr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",mazowieckie
2012/07/N/HS2/00656,Tropy sekularyzacji w prozie dwudziestolecia,1,3,3,czytnik e-book,638,1,Ryszard Knapek,dr,"Uniwersytet Śląski w Katowicach, Wydział Filologiczny",śląskie
2012/07/N/HS2/00734,Historia a wczesnonowożytna literatura północnych Indii. Problem dziejowego uwikłania literatury riti na przykładzie poematu Śiwaradźbhuszan Bhuszana Tripathi'ego (1630-1678).,3,1,0,,0,0,Piotr Borek,mgr,"Uniwersytet Jagielloński, Wydział Filologiczny",małopolskie
2012/07/N/HS2/01680,Hausański rap - afrykańska literatura ustna wobec wyzwań współczesności,0,2,0,"dyktafon, kamera video (2 szt.)",2981,1,Mariusz Kraśniewski,dr,Instytut Kultur Śródziemnomorskich i Orientalnych PAN,mazowieckie
2012/07/N/HS2/01691,"Obraz pracowni artysty w polskim malarstwie, krytyce artystycznej i literaturze XIX i początku XX wieku",0,2,3,,0,0,Agnieszka Bagińska,dr,"Uniwersytet Warszawski, Wydział Historyczny",mazowieckie
2012/07/N/HS3/00514,Recepcja włoskiej kultury intelektualnej w krakowskim środowisku uniwersyteckim od około drugiej połowy XIV wieku do końca XV wieku,3,0,0,,0,0,Anna Horeczy,mgr,Instytut Historii im. Tadeusza Manteuffla PAN,mazowieckie
2012/07/N/HS3/00872,Filozofki na Uniwersytecie Jagiellońskim w latach 1897-1967. Myśl i biografia.,0,2,0,,0,0,Ewa Chudoba,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2012/07/N/HS3/04056,"Miejsce i znaczenie prahistorycznego kompleksu sakralnego w Wadi Khashab, Egipt, Pustynia Wschodnia.",2,0,2,,0,0,Piotr Osypiński,mgr,Fundacja Patrimonium,wielkopolskie
2012/07/N/HS3/04179,"Geografia historyczna regionu stolicy hetyckiej, Hattusa, w XVII-XII w. p.n.e.",0,1,1,"oprogramowanie (Office i Photoshop), MacBook Pro 13″",5150,2,Adam Kryszeń,mgr,"Uniwersytet Warszawski, Wydział Orientalistyczny",mazowieckie
2012/07/N/HS4/00274,Zarządzanie ryzykiem kadrowym w publicznych szkołach wyższych (na podstawie uczelni z regionu łódzkiego),5,3,0,,0,0,Karolina Kapuścińska,mgr inż.,"Politechnika Łódzka, Wydział Organizacji i Zarządzania",łódzkie
2012/07/N/HS4/02417,Równowaga i stabilność procesów wzrostu w modelach gospodarki konkurencyjnej z zapasami,2,2,0,,0,0,Monika Naskręcka,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Informatyki i Gospodarki Elektronicznej",wielkopolskie
2012/07/N/HS4/02465,Relacje muzeów i skupionych wokół nich wirtualnych społeczności open collaboration: problemy hierarchii i budowania autorytetu,0,0,0,"Czytnik książek, Laptop z oprogramowaniem Envivo i Endnote, Dyktafon",7950,3,Małgorzata Adamczyk,mgr,Akademia Leona Koźmińskiego,mazowieckie
2012/07/N/HS4/02654,Badania skuteczności i efektywności funkcjonowania Systemów Ekozarządzania i Audytu EMAS w przedsiębiorstwach na terenie Polski.,3,1,1,Laptop multimedialny wraz z oprogramowaniem,4920,1,Beata Szyszka,dr inż.,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Towaroznawstwa",wielkopolskie
2012/07/N/HS4/02671,Antycykliczne bufory kapitałowe oraz ograniczenia LtV i DtI w bankowości - narzędzia ostrożnościowe regulacji bankowych czy nowe narzędzia w polityce stabilizacyjnej banku centralnego?,1,0,0,"Komputer przenośny (laptop) wraz z licencją na oprogramowanie umożliwiające wydajne wyliczenie rozwiązania globalnego i prowadzenie symulacji., Drukarka laserowa z kartą sieciową",4025,2,Karol Strzeliński,mgr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",mazowieckie
2012/07/N/HS4/02676,Korzyści z zatrudnienia: dekompozycja i wycena,4,1,0,"Komputer, STATA, program nlogit, oprogramowanie ngene",6492,4,Tomasz Gajderowicz,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",mazowieckie
2012/07/N/HS4/02736,Wielokryterialne harmonogramowanie portfela projektów,3,1,0,,0,0,Bogumiła Krzeszowska-Zakrzewska,dr,"Uniwersytet Ekonomiczny w Katowicach, Wydział Informatyki i Komunikacji",śląskie
2012/07/N/HS5/00931,Prawne aspekty e-votingu na tle porównawczym,0,0,0,,0,0,Marcin Rulka,mgr,"Uniwersytet Łódzki, Wydział Prawa i Administracji",łódzkie
2012/07/N/HS5/00999,Nonfaktualizm a problem normatywności prawa,3,2,0,Komputer przenośny z edytorem tekstu,3999,1,Paweł Banaś,mgr,"Uniwersytet Jagielloński, Wydział Prawa i Administracji",małopolskie
2012/07/N/HS6/01457,Studenci polskiego pochodzenia z krajów byłego ZSRR. Doświadczenia kulturowe a przemiany tożsamości,3,2,1,,0,0,Marcin Gońda,mgr,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny",łódzkie
2012/07/N/HS6/01472,Związek między podążaniem przez niemowlę za wzrokiem drugiej osoby a mimiczną ekspresją emocji.,1,0,0,"Oprogramowanie Kaspersky Security, Oprogramowanie Kaspersky Security, Laptop SonyVAIO SVS, 15,5’’, Oprogramowanie EndNote, Oprogramowanie MS Office Professional Plus, Kamera oraz statyw do kamery",9897,6,Alicja Niedźwiecka,mgr,"Uniwersytet Warszawski, Wydział Psychologii",mazowieckie
2012/07/N/HS6/02552,Rozwijanie kompetencji intelektualnych na przestrzeni dorosłego życia: analiza efektywności treningu poznawczo-fizycznego.,0,0,0,,0,0,Barbara Zarzecka,mgr,"Szkoła Wyższa Psychologii Społecznej w Warszawie, Wydział Psychologii",mazowieckie
2013/09/N/HS4/03659,Ekonomiczne skutki katastrof naturalnych w krajach rozwijających się na przykładzie Indonezji,2,1,0,Laptop z oprogramowaniem,4120,1,Agnieszka Kukułka,mgr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Gospodarki Międzynarodowej",wielkopolskie
2013/09/N/HS3/02348,Symbolika liczb w folklorze polskim,0,2,0,"Skaner ręczny, Urządzenie wielofunkcyjne (które ma opcje drukowania, kserowania, skanowania, drukowania na płytach CD), Laptop",2401,3,Magdalena Wójtowicz,mgr,"UNIWERSYTET MARII CURIE-SKŁODOWSKIEJ W LUBLINIE, Wydział Humanistyczny",lubelskie
2013/09/N/HS4/03761,Rozmyta optymalizacja portfela papierów wartościowych w świetle teorii wiarygodności z uwzględnieniem oczekiwań inwestorów,2,1,2,,0,0,Aleksandra Rutkowska,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Informatyki i Gospodarki Elektronicznej",wielkopolskie
2013/11/N/HS2/03506,Kazania de tempore i de sanctis Mikołaja z Błonia. Zarys monografii,1,0,0,Skaner przenośny,239,1,Lidia Grzybowska,mgr,"Uniwersytet Jagielloński, Wydział Polonistyki",małopolskie
